,Sport,Discipline,Event
1774,Canoe / Kayak,Canoe / Kayak F,C-1 1000m (canoe single)
1775,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double)
1776,Canoe / Kayak,Canoe / Kayak F,C-1 1000m (canoe single)
1777,Canoe / Kayak,Canoe / Kayak F,K-1 1000m (kayak single)
1778,Canoe / Kayak,Canoe / Kayak F,C-2 1000m (canoe double)
1779,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four)
1780,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double)
1781,Canoe / Kayak,Canoe / Kayak F,C-2 500m (canoe double)
1782,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four)
1783,Canoe / Kayak,Canoe / Kayak F,K-2 1000m (kayak double)
1784,Canoe / Kayak,Canoe / Kayak F,K-1 1000m (kayak single)
1785,Canoe / Kayak,Canoe / Kayak F,C-2 1000m (canoe double)
1786,Canoe / Kayak,Canoe / Kayak F,K-1 500m (kayak single)
1787,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double)
1788,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four)
1789,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double)
1790,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double)
1791,Canoe / Kayak,Canoe / Kayak F,C-2 500m (canoe double)
1792,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four)
1793,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double)
1794,Cycling,Cycling Road,team time trial
1795,Cycling,Cycling Road,team time trial
1796,Cycling,Cycling Road,team time trial
1797,Cycling,Cycling Road,individual road race
1798,Cycling,Cycling Road,team time trial
1799,Cycling,Cycling Road,individual road race
1800,Cycling,Cycling Road,team time trial
1801,Cycling,Cycling Road,team time trial
1802,Cycling,Cycling Road,team time trial
1803,Cycling,Cycling Road,team time trial
1804,Cycling,Cycling Road,team time trial
1805,Cycling,Cycling Road,team time trial
1806,Cycling,Cycling Road,team time trial
1807,Cycling,Cycling Road,individual road race
1808,Cycling,Cycling Road,team time trial
1809,Cycling,Cycling Track,Individual Pursuit
1810,Cycling,Cycling Track,Sprint indivual
1811,Cycling,Cycling Track,1km time trial
1812,Cycling,Cycling Track,Sprint indivual
1813,Cycling,Cycling Track,Team Pursuit (4000m)
1814,Cycling,Cycling Track,Team Pursuit (4000m)
1815,Cycling,Cycling Track,Team Pursuit (4000m)
1816,Cycling,Cycling Track,Team Pursuit (4000m)
1817,Cycling,Cycling Track,Team Pursuit (4000m)
1818,Cycling,Cycling Track,Individual Pursuit
1819,Cycling,Cycling Track,1km time trial
1820,Cycling,Cycling Track,Team Pursuit (4000m)
1821,Cycling,Cycling Track,Team Pursuit (4000m)
1822,Cycling,Cycling Track,Team Pursuit (4000m)
1823,Cycling,Cycling Track,Team Pursuit (4000m)
1824,Cycling,Cycling Track,1km time trial
1825,Cycling,Cycling Track,Individual Pursuit
1826,Cycling,Cycling Track,Sprint indivual
1827,Cycling,Cycling Track,Team Pursuit (4000m)
1828,Cycling,Cycling Track,Team Pursuit (4000m)
1829,Cycling,Cycling Track,Team Pursuit (4000m)
1830,Equestrian,Dressage,team
1831,Equestrian,Dressage,team
1832,Equestrian,Dressage,team
1833,Equestrian,Dressage,individual
1834,Equestrian,Dressage,team
1835,Equestrian,Dressage,team
1836,Equestrian,Dressage,team
1837,Equestrian,Dressage,individual
1838,Equestrian,Dressage,team
1839,Equestrian,Dressage,team
1840,Equestrian,Dressage,individual
1841,Equestrian,Dressage,team
1842,Equestrian,Dressage,team
1843,Equestrian,Dressage,team
1844,Equestrian,Dressage,team
1845,Equestrian,Dressage,individual
1846,Equestrian,Dressage,team
1847,Equestrian,Dressage,team
1848,Equestrian,Dressage,team
1849,Equestrian,Eventing,team
1850,Equestrian,Eventing,individual
1851,Equestrian,Eventing,team
1852,Equestrian,Eventing,individual
1853,Equestrian,Eventing,team
1854,Equestrian,Eventing,team
1855,Equestrian,Eventing,team
1856,Equestrian,Eventing,team
1857,Equestrian,Eventing,team
1858,Equestrian,Eventing,team
1859,Equestrian,Eventing,individual
1860,Equestrian,Eventing,team
1861,Equestrian,Eventing,team
1862,Equestrian,Eventing,team
1863,Equestrian,Eventing,team
1864,Equestrian,Eventing,individual
1865,Equestrian,Eventing,team
1866,Equestrian,Eventing,team
1867,Equestrian,Eventing,team
1868,Equestrian,Eventing,team
1869,Equestrian,Eventing,individual
1870,Equestrian,Eventing,team
1871,Equestrian,Jumping,individual
1872,Equestrian,Jumping,team
1873,Equestrian,Jumping,team
1874,Equestrian,Jumping,team
1875,Equestrian,Jumping,team
1876,Equestrian,Jumping,team
1877,Equestrian,Jumping,team
1878,Equestrian,Jumping,team
1879,Equestrian,Jumping,team
1880,Equestrian,Jumping,individual
1881,Equestrian,Jumping,individual
1882,Equestrian,Jumping,team
1883,Equestrian,Jumping,team
1884,Equestrian,Jumping,team
1885,Equestrian,Jumping,team
1886,Equestrian,Jumping,team
1887,Equestrian,Jumping,team
1888,Equestrian,Jumping,individual
1889,Equestrian,Jumping,team
1890,Equestrian,Jumping,team
1891,Equestrian,Jumping,team
1892,Fencing,Fencing,sabre team
1893,Fencing,Fencing,foil individual
1894,Fencing,Fencing,foil team
1895,Fencing,Fencing,sabre team
1896,Fencing,Fencing,sabre individual
1897,Fencing,Fencing,sabre team
1898,Fencing,Fencing,foil individual
1899,Fencing,Fencing,épée team
1900,Fencing,Fencing,épée team
1901,Fencing,Fencing,sabre team
1902,Fencing,Fencing,foil team
1903,Fencing,Fencing,foil team
1904,Fencing,Fencing,foil team
1905,Fencing,Fencing,foil team
1906,Fencing,Fencing,épée team
1907,Fencing,Fencing,foil team
1908,Fencing,Fencing,sabre team
1909,Fencing,Fencing,foil team
1910,Fencing,Fencing,sabre team
1911,Fencing,Fencing,épée team
1912,Fencing,Fencing,foil team
1913,Fencing,Fencing,sabre team
1914,Fencing,Fencing,épée team
1915,Fencing,Fencing,foil individual
1916,Fencing,Fencing,épée team
1917,Fencing,Fencing,foil team
1918,Fencing,Fencing,foil team
1919,Fencing,Fencing,foil team
1920,Fencing,Fencing,foil team
1921,Fencing,Fencing,foil individual
1922,Fencing,Fencing,foil team
1923,Fencing,Fencing,foil team
1924,Fencing,Fencing,sabre team
1925,Fencing,Fencing,foil team
1926,Fencing,Fencing,foil team
1927,Fencing,Fencing,épée individual
1928,Fencing,Fencing,sabre team
1929,Fencing,Fencing,foil team
1930,Fencing,Fencing,épée individual
1931,Fencing,Fencing,sabre individual
1932,Fencing,Fencing,foil team
1933,Fencing,Fencing,foil individual
1934,Fencing,Fencing,foil team
1935,Fencing,Fencing,épée individual
1936,Fencing,Fencing,foil team
1937,Fencing,Fencing,épée team
1938,Fencing,Fencing,épée team
1939,Fencing,Fencing,sabre team
1940,Fencing,Fencing,foil team
1941,Fencing,Fencing,foil team
1942,Fencing,Fencing,sabre team
1943,Fencing,Fencing,épée team
1944,Fencing,Fencing,foil team
1945,Fencing,Fencing,épée team
1946,Fencing,Fencing,épée team
1947,Fencing,Fencing,foil team
1948,Fencing,Fencing,foil individual
1949,Fencing,Fencing,foil team
1950,Fencing,Fencing,sabre team
1951,Fencing,Fencing,foil team
1952,Fencing,Fencing,sabre team
1953,Fencing,Fencing,foil team
1954,Fencing,Fencing,sabre team
1955,Fencing,Fencing,sabre team
1956,Fencing,Fencing,épée team
1957,Fencing,Fencing,foil team
1958,Fencing,Fencing,épée team
1959,Fencing,Fencing,épée team
1960,Fencing,Fencing,foil team
1961,Fencing,Fencing,sabre individual
1962,Football,Football,football
1963,Football,Football,football
1964,Football,Football,football
1965,Football,Football,football
1966,Football,Football,football
1967,Football,Football,football
1968,Football,Football,football
1969,Football,Football,football
1970,Football,Football,football
1971,Football,Football,football
1972,Football,Football,football
1973,Football,Football,football
1974,Football,Football,football
1975,Football,Football,football
1976,Football,Football,football
1977,Football,Football,football
1978,Football,Football,football
1979,Football,Football,football
1980,Football,Football,football
1981,Football,Football,football
1982,Football,Football,football
1983,Football,Football,football
1984,Football,Football,football
1985,Football,Football,football
1986,Football,Football,football
1987,Football,Football,football
1988,Football,Football,football
1989,Football,Football,football
1990,Football,Football,football
1991,Football,Football,football
1992,Football,Football,football
1993,Football,Football,football
1994,Football,Football,football
1995,Football,Football,football
1996,Football,Football,football
1997,Football,Football,football
1998,Football,Football,football
1999,Football,Football,football
2000,Football,Football,football
2001,Football,Football,football
2002,Football,Football,football
2003,Football,Football,football
2004,Football,Football,football
2005,Football,Football,football
2006,Football,Football,football
2007,Football,Football,football
2008,Football,Football,football
2009,Football,Football,football
2010,Football,Football,football
2011,Football,Football,football
2012,Football,Football,football
2013,Gymnastics,Artistic G.,vault
2014,Gymnastics,Artistic G.,pommel horse
2015,Gymnastics,Artistic G.,team competition
2016,Gymnastics,Artistic G.,team competition
2017,Gymnastics,Artistic G.,uneven bars
2018,Gymnastics,Artistic G.,horizontal bar
2019,Gymnastics,Artistic G.,team competition
2020,Gymnastics,Artistic G.,individual all-round
2021,Gymnastics,Artistic G.,floor exercises
2022,Gymnastics,Artistic G.,floor exercises
2023,Gymnastics,Artistic G.,team competition
2024,Gymnastics,Artistic G.,balance beam
2025,Gymnastics,Artistic G.,horizontal bar
2026,Gymnastics,Artistic G.,individual all-round
2027,Gymnastics,Artistic G.,floor exercises
2028,Gymnastics,Artistic G.,pommel horse
2029,Gymnastics,Artistic G.,team competition
2030,Gymnastics,Artistic G.,individual all-round
2031,Gymnastics,Artistic G.,floor exercises
2032,Gymnastics,Artistic G.,team competition
2033,Gymnastics,Artistic G.,team competition
2034,Gymnastics,Artistic G.,team competition
2035,Gymnastics,Artistic G.,floor exercises
2036,Gymnastics,Artistic G.,team competition
2037,Gymnastics,Artistic G.,team competition
2038,Gymnastics,Artistic G.,floor exercises
2039,Gymnastics,Artistic G.,team competition
2040,Gymnastics,Artistic G.,balance beam
2041,Gymnastics,Artistic G.,uneven bars
2042,Gymnastics,Artistic G.,team competition
2043,Gymnastics,Artistic G.,rings
2044,Gymnastics,Artistic G.,uneven bars
2045,Gymnastics,Artistic G.,vault
2046,Gymnastics,Artistic G.,team competition
2047,Gymnastics,Artistic G.,individual all-round
2048,Gymnastics,Artistic G.,team competition
2049,Gymnastics,Artistic G.,balance beam
2050,Gymnastics,Artistic G.,team competition
2051,Gymnastics,Artistic G.,team competition
2052,Gymnastics,Artistic G.,team competition
2053,Gymnastics,Artistic G.,team competition
2054,Gymnastics,Artistic G.,team competition
2055,Gymnastics,Artistic G.,team competition
2056,Gymnastics,Artistic G.,individual all-round
2057,Gymnastics,Artistic G.,parallel bars
2058,Gymnastics,Artistic G.,vault
2059,Gymnastics,Artistic G.,uneven bars
2060,Gymnastics,Artistic G.,team competition
2061,Gymnastics,Artistic G.,team competition
2062,Gymnastics,Artistic G.,vault
2063,Gymnastics,Artistic G.,rings
2064,Gymnastics,Artistic G.,team competition
2065,Gymnastics,Artistic G.,pommel horse
2066,Gymnastics,Artistic G.,parallel bars
2067,Gymnastics,Artistic G.,vault
2068,Gymnastics,Artistic G.,team competition
2069,Gymnastics,Artistic G.,uneven bars
2070,Gymnastics,Artistic G.,rings
2071,Gymnastics,Artistic G.,team competition
2072,Gymnastics,Artistic G.,team competition
2073,Gymnastics,Artistic G.,parallel bars
2074,Gymnastics,Artistic G.,team competition
2075,Gymnastics,Artistic G.,team competition
2076,Gymnastics,Artistic G.,floor exercises
2077,Gymnastics,Artistic G.,team competition
2078,Gymnastics,Artistic G.,team competition
2079,Gymnastics,Artistic G.,team competition
2080,Gymnastics,Artistic G.,team competition
2081,Gymnastics,Artistic G.,team competition
2082,Gymnastics,Artistic G.,team competition
2083,Gymnastics,Artistic G.,team competition
2084,Gymnastics,Artistic G.,vault
2085,Gymnastics,Artistic G.,team competition
2086,Gymnastics,Artistic G.,horizontal bar
2087,Gymnastics,Artistic G.,individual all-round
2088,Handball,Handball,handball
2089,Handball,Handball,handball
2090,Handball,Handball,handball
2091,Handball,Handball,handball
2092,Handball,Handball,handball
2093,Handball,Handball,handball
2094,Handball,Handball,handball
2095,Handball,Handball,handball
2096,Handball,Handball,handball
2097,Handball,Handball,handball
2098,Handball,Handball,handball
2099,Handball,Handball,handball
2100,Handball,Handball,handball
2101,Handball,Handball,handball
2102,Handball,Handball,handball
2103,Handball,Handball,handball
2104,Handball,Handball,handball
2105,Handball,Handball,handball
2106,Handball,Handball,handball
2107,Handball,Handball,handball
2108,Handball,Handball,handball
2109,Handball,Handball,handball
2110,Handball,Handball,handball
2111,Handball,Handball,handball
2112,Handball,Handball,handball
2113,Handball,Handball,handball
2114,Handball,Handball,handball
2115,Handball,Handball,handball
2116,Handball,Handball,handball
2117,Handball,Handball,handball
2118,Handball,Handball,handball
2119,Handball,Handball,handball
2120,Handball,Handball,handball
2121,Handball,Handball,handball
2122,Handball,Handball,handball
2123,Handball,Handball,handball
2124,Handball,Handball,handball
2125,Handball,Handball,handball
2126,Handball,Handball,handball
2127,Handball,Handball,handball
2128,Handball,Handball,handball
2129,Handball,Handball,handball
2130,Handball,Handball,handball
2131,Handball,Handball,handball
2132,Handball,Handball,handball
2133,Handball,Handball,handball
2134,Handball,Handball,handball
2135,Handball,Handball,handball
2136,Handball,Handball,handball
2137,Handball,Handball,handball
2138,Handball,Handball,handball
2139,Handball,Handball,handball
2140,Handball,Handball,handball
2141,Handball,Handball,handball
2142,Handball,Handball,handball
2143,Handball,Handball,handball
2144,Handball,Handball,handball
2145,Handball,Handball,handball
2146,Handball,Handball,handball
2147,Handball,Handball,handball
2148,Handball,Handball,handball
2149,Handball,Handball,handball
2150,Handball,Handball,handball
2151,Handball,Handball,handball
2152,Handball,Handball,handball
2153,Handball,Handball,handball
2154,Handball,Handball,handball
2155,Handball,Handball,handball
2156,Handball,Handball,handball
2157,Handball,Handball,handball
2158,Handball,Handball,handball
2159,Handball,Handball,handball
2160,Handball,Handball,handball
2161,Handball,Handball,handball
2162,Handball,Handball,handball
2163,Handball,Handball,handball
2164,Handball,Handball,handball
2165,Handball,Handball,handball
2166,Handball,Handball,handball
2167,Handball,Handball,handball
2168,Handball,Handball,handball
2169,Handball,Handball,handball
2170,Handball,Handball,handball
2171,Handball,Handball,handball
2172,Hockey,Hockey,hockey
2173,Hockey,Hockey,hockey
2174,Hockey,Hockey,hockey
2175,Hockey,Hockey,hockey
2176,Hockey,Hockey,hockey
2177,Hockey,Hockey,hockey
2178,Hockey,Hockey,hockey
2179,Hockey,Hockey,hockey
2180,Hockey,Hockey,hockey
2181,Hockey,Hockey,hockey
2182,Hockey,Hockey,hockey
2183,Hockey,Hockey,hockey
2184,Hockey,Hockey,hockey
2185,Hockey,Hockey,hockey
2186,Hockey,Hockey,hockey
2187,Hockey,Hockey,hockey
2188,Hockey,Hockey,hockey
2189,Hockey,Hockey,hockey
2190,Hockey,Hockey,hockey
2191,Hockey,Hockey,hockey
2192,Hockey,Hockey,hockey
2193,Hockey,Hockey,hockey
2194,Hockey,Hockey,hockey
2195,Hockey,Hockey,hockey
2196,Hockey,Hockey,hockey
2197,Hockey,Hockey,hockey
2198,Hockey,Hockey,hockey
2199,Hockey,Hockey,hockey
2200,Hockey,Hockey,hockey
2201,Hockey,Hockey,hockey
2202,Hockey,Hockey,hockey
2203,Hockey,Hockey,hockey
2204,Hockey,Hockey,hockey
2205,Hockey,Hockey,hockey
2206,Hockey,Hockey,hockey
2207,Hockey,Hockey,hockey
2208,Hockey,Hockey,hockey
2209,Hockey,Hockey,hockey
2210,Hockey,Hockey,hockey
2211,Hockey,Hockey,hockey
2212,Hockey,Hockey,hockey
2213,Hockey,Hockey,hockey
2214,Hockey,Hockey,hockey
2215,Hockey,Hockey,hockey
2216,Hockey,Hockey,hockey
2217,Hockey,Hockey,hockey
2218,Hockey,Hockey,hockey
2219,Hockey,Hockey,hockey
2220,Hockey,Hockey,hockey
2221,Hockey,Hockey,hockey
2222,Hockey,Hockey,hockey
2223,Hockey,Hockey,hockey
2224,Hockey,Hockey,hockey
2225,Hockey,Hockey,hockey
2226,Hockey,Hockey,hockey
2227,Hockey,Hockey,hockey
2228,Hockey,Hockey,hockey
2229,Hockey,Hockey,hockey
2230,Hockey,Hockey,hockey
2231,Hockey,Hockey,hockey
2232,Hockey,Hockey,hockey
2233,Hockey,Hockey,hockey
2234,Hockey,Hockey,hockey
2235,Hockey,Hockey,hockey
2236,Hockey,Hockey,hockey
2237,Hockey,Hockey,hockey
2238,Hockey,Hockey,hockey
2239,Hockey,Hockey,hockey
2240,Hockey,Hockey,hockey
2241,Hockey,Hockey,hockey
2242,Hockey,Hockey,hockey
2243,Hockey,Hockey,hockey
2244,Hockey,Hockey,hockey
2245,Hockey,Hockey,hockey
2246,Hockey,Hockey,hockey
2247,Hockey,Hockey,hockey
2248,Hockey,Hockey,hockey
2249,Hockey,Hockey,hockey
2250,Hockey,Hockey,hockey
2251,Hockey,Hockey,hockey
2252,Hockey,Hockey,hockey
2253,Hockey,Hockey,hockey
2254,Hockey,Hockey,hockey
2255,Hockey,Hockey,hockey
2256,Hockey,Hockey,hockey
2257,Hockey,Hockey,hockey
2258,Hockey,Hockey,hockey
2259,Hockey,Hockey,hockey
2260,Hockey,Hockey,hockey
2261,Hockey,Hockey,hockey
2262,Hockey,Hockey,hockey
2263,Hockey,Hockey,hockey
2264,Hockey,Hockey,hockey
2265,Hockey,Hockey,hockey
2266,Hockey,Hockey,hockey
2267,Hockey,Hockey,hockey
2268,Judo,Judo,open category
2269,Judo,Judo,- 60 kg
2270,Judo,Judo,86 - 95kg (half-heavyweight)
2271,Judo,Judo,71 - 78kg (half-middleweight)
2272,Judo,Judo,open category
2273,Judo,Judo,65 - 71kg (lightweight)
2274,Judo,Judo,- 60 kg
2275,Judo,Judo,71 - 78kg (half-middleweight)
2276,Judo,Judo,+ 95kg (heavyweight)
2277,Judo,Judo,78 - 86kg (middleweight)
2278,Judo,Judo,- 60 kg
2279,Judo,Judo,86 - 95kg (half-heavyweight)
2280,Judo,Judo,71 - 78kg (half-middleweight)
2281,Judo,Judo,60 - 65kg (half-lightweight)
2282,Judo,Judo,+ 95kg (heavyweight)
2283,Judo,Judo,60 - 65kg (half-lightweight)
2284,Judo,Judo,78 - 86kg (middleweight)
2285,Judo,Judo,65 - 71kg (lightweight)
2286,Judo,Judo,+ 95kg (heavyweight)
2287,Judo,Judo,65 - 71kg (lightweight)
2288,Judo,Judo,- 60 kg
2289,Judo,Judo,60 - 65kg (half-lightweight)
2290,Judo,Judo,78 - 86kg (middleweight)
2291,Judo,Judo,60 - 65kg (half-lightweight)
2292,Judo,Judo,71 - 78kg (half-middleweight)
2293,Judo,Judo,86 - 95kg (half-heavyweight)
2294,Judo,Judo,open category
2295,Judo,Judo,+ 95kg (heavyweight)
2296,Judo,Judo,65 - 71kg (lightweight)
2297,Judo,Judo,86 - 95kg (half-heavyweight)
2298,Judo,Judo,78 - 86kg (middleweight)
2299,Judo,Judo,open category
2300,Modern Pentathlon,Modern Pentath.,Team competition
2301,Modern Pentathlon,Modern Pentath.,Team competition
2302,Modern Pentathlon,Modern Pentath.,Individual competition
2303,Modern Pentathlon,Modern Pentath.,Individual competition
2304,Modern Pentathlon,Modern Pentath.,Team competition
2305,Modern Pentathlon,Modern Pentath.,Team competition
2306,Modern Pentathlon,Modern Pentath.,Team competition
2307,Modern Pentathlon,Modern Pentath.,Team competition
2308,Modern Pentathlon,Modern Pentath.,Team competition
2309,Modern Pentathlon,Modern Pentath.,Team competition
2310,Modern Pentathlon,Modern Pentath.,Team competition
2311,Modern Pentathlon,Modern Pentath.,Individual competition
2312,Rowing,Rowing,four-oared shell with coxswain (4-)
2313,Rowing,Rowing,four-oared shell with coxswain (4-)
2314,Rowing,Rowing,eight with coxswain (8+)
2315,Rowing,Rowing,four without coxswain (4-)
2316,Rowing,Rowing,quadruple sculls without coxswain (4x)
2317,Rowing,Rowing,eight with coxswain (8+)
2318,Rowing,Rowing,eight with coxswain (8+)
2319,Rowing,Rowing,pair without coxswain (2-)
2320,Rowing,Rowing,quadruple sculls with coxswain (4x)
2321,Rowing,Rowing,eight with coxswain (8+)
2322,Rowing,Rowing,four without coxswain (4-)
2323,Rowing,Rowing,pair-oared shell with coxswain (2+)
2324,Rowing,Rowing,pair-oared shell with coxswain (2+)
2325,Rowing,Rowing,quadruple sculls without coxswain (4x)
2326,Rowing,Rowing,pair without coxswain (2-)
2327,Rowing,Rowing,eight with coxswain (8+)
2328,Rowing,Rowing,pair-oared shell with coxswain (2+)
2329,Rowing,Rowing,eight with coxswain (8+)
2330,Rowing,Rowing,double sculls (2x)
2331,Rowing,Rowing,four-oared shell with coxswain (4-)
2332,Rowing,Rowing,eight with coxswain (8+)
2333,Rowing,Rowing,single sculls (1x)
2334,Rowing,Rowing,double sculls (2x)
2335,Rowing,Rowing,four-oared shell with coxswain (4-)
2336,Rowing,Rowing,double sculls (2x)
2337,Rowing,Rowing,eight with coxswain (8+)
2338,Rowing,Rowing,eight with coxswain (8+)
2339,Rowing,Rowing,double sculls (2x)
2340,Rowing,Rowing,eight with coxswain (8+)
2341,Rowing,Rowing,eight with coxswain (8+)
2342,Rowing,Rowing,four-oared shell with coxswain (4-)
2343,Rowing,Rowing,eight with coxswain (8+)
2344,Rowing,Rowing,eight with coxswain (8+)
2345,Rowing,Rowing,pair-oared shell with coxswain (2+)
2346,Rowing,Rowing,eight with coxswain (8+)
2347,Rowing,Rowing,quadruple sculls without coxswain (4x)
2348,Rowing,Rowing,four without coxswain (4-)
2349,Rowing,Rowing,double sculls (2x)
2350,Rowing,Rowing,eight with coxswain (8+)
2351,Rowing,Rowing,quadruple sculls with coxswain (4x)
2352,Rowing,Rowing,coxless pair (2-)
2353,Rowing,Rowing,eight with coxswain (8+)
2354,Rowing,Rowing,coxless pair (2-)
2355,Rowing,Rowing,eight with coxswain (8+)
2356,Rowing,Rowing,quadruple sculls without coxswain (4x)
2357,Rowing,Rowing,eight with coxswain (8+)
2358,Rowing,Rowing,double sculls (2x)
2359,Rowing,Rowing,eight with coxswain (8+)
2360,Rowing,Rowing,quadruple sculls with coxswain (4x)
2361,Rowing,Rowing,pair-oared shell with coxswain (2+)
2362,Rowing,Rowing,pair-oared shell with coxswain (2+)
2363,Rowing,Rowing,eight with coxswain (8+)
2364,Rowing,Rowing,eight with coxswain (8+)
2365,Rowing,Rowing,eight with coxswain (8+)
2366,Rowing,Rowing,four without coxswain (4-)
2367,Rowing,Rowing,four-oared shell with coxswain (4-)
2368,Rowing,Rowing,four without coxswain (4-)
2369,Rowing,Rowing,single sculls (1x)
2370,Rowing,Rowing,quadruple sculls without coxswain (4x)
2371,Rowing,Rowing,single sculls (1x)
2372,Rowing,Rowing,quadruple sculls with coxswain (4x)
2373,Rowing,Rowing,four-oared shell with coxswain (4-)
2374,Rowing,Rowing,eight with coxswain (8+)
2375,Rowing,Rowing,quadruple sculls with coxswain (4x)
2376,Rowing,Rowing,double sculls (2x)
2377,Rowing,Rowing,quadruple sculls without coxswain (4x)
2378,Rowing,Rowing,four-oared shell with coxswain (4-)
2379,Rowing,Rowing,four without coxswain (4-)
2380,Rowing,Rowing,eight with coxswain (8+)
2381,Rowing,Rowing,eight with coxswain (8+)
2382,Rowing,Rowing,four without coxswain (4-)
2383,Rowing,Rowing,four-oared shell with coxswain (4-)
2384,Rowing,Rowing,quadruple sculls with coxswain (4x)
2385,Rowing,Rowing,four without coxswain (4-)
2386,Rowing,Rowing,quadruple sculls with coxswain (4x)
2387,Rowing,Rowing,eight with coxswain (8+)
2388,Rowing,Rowing,pair-oared shell with coxswain (2+)
2389,Rowing,Rowing,single sculls (1x)
2390,Rowing,Rowing,quadruple sculls without coxswain (4x)
2391,Rowing,Rowing,quadruple sculls without coxswain (4x)
2392,Rowing,Rowing,eight with coxswain (8+)
2393,Rowing,Rowing,coxless pair (2-)
2394,Rowing,Rowing,four-oared shell with coxswain (4-)
2395,Rowing,Rowing,eight with coxswain (8+)
2396,Rowing,Rowing,eight with coxswain (8+)
2397,Rowing,Rowing,four-oared shell with coxswain (4-)
2398,Rowing,Rowing,quadruple sculls with coxswain (4x)
2399,Rowing,Rowing,eight with coxswain (8+)
2400,Rowing,Rowing,double sculls (2x)
2401,Rowing,Rowing,quadruple sculls without coxswain (4x)
2402,Rowing,Rowing,four-oared shell with coxswain (4-)
2403,Rowing,Rowing,quadruple sculls with coxswain (4x)
2404,Rowing,Rowing,coxless pair (2-)
2405,Rowing,Rowing,eight with coxswain (8+)
2406,Rowing,Rowing,eight with coxswain (8+)
2407,Rowing,Rowing,four without coxswain (4-)
2408,Rowing,Rowing,eight with coxswain (8+)
2409,Rowing,Rowing,eight with coxswain (8+)
2410,Rowing,Rowing,four-oared shell with coxswain (4-)
2411,Rowing,Rowing,single sculls (1x)
2412,Rowing,Rowing,pair without coxswain (2-)
2413,Rowing,Rowing,four-oared shell with coxswain (4-)
2414,Rowing,Rowing,four-oared shell with coxswain (4-)
2415,Rowing,Rowing,four-oared shell with coxswain (4-)
2416,Rowing,Rowing,eight with coxswain (8+)
2417,Rowing,Rowing,quadruple sculls with coxswain (4x)
2418,Rowing,Rowing,eight with coxswain (8+)
2419,Rowing,Rowing,four-oared shell with coxswain (4-)
2420,Rowing,Rowing,four-oared shell with coxswain (4-)
2421,Rowing,Rowing,pair without coxswain (2-)
2422,Rowing,Rowing,four-oared shell with coxswain (4-)
2423,Rowing,Rowing,quadruple sculls with coxswain (4x)
2424,Rowing,Rowing,eight with coxswain (8+)
2425,Rowing,Rowing,eight with coxswain (8+)
2426,Rowing,Rowing,eight with coxswain (8+)
2427,Rowing,Rowing,quadruple sculls with coxswain (4x)
2428,Rowing,Rowing,coxless pair (2-)
2429,Rowing,Rowing,four-oared shell with coxswain (4-)
2430,Rowing,Rowing,pair without coxswain (2-)
2431,Rowing,Rowing,four-oared shell with coxswain (4-)
2432,Rowing,Rowing,four-oared shell with coxswain (4-)
2433,Rowing,Rowing,eight with coxswain (8+)
2434,Rowing,Rowing,four-oared shell with coxswain (4-)
2435,Rowing,Rowing,double sculls (2x)
2436,Rowing,Rowing,eight with coxswain (8+)
2437,Rowing,Rowing,eight with coxswain (8+)
2438,Rowing,Rowing,four-oared shell with coxswain (4-)
2439,Rowing,Rowing,four without coxswain (4-)
2440,Rowing,Rowing,four-oared shell with coxswain (4-)
2441,Rowing,Rowing,double sculls (2x)
2442,Rowing,Rowing,four-oared shell with coxswain (4-)
2443,Rowing,Rowing,quadruple sculls with coxswain (4x)
2444,Rowing,Rowing,eight with coxswain (8+)
2445,Rowing,Rowing,eight with coxswain (8+)
2446,Rowing,Rowing,quadruple sculls with coxswain (4x)
2447,Rowing,Rowing,quadruple sculls with coxswain (4x)
2448,Rowing,Rowing,four-oared shell with coxswain (4-)
2449,Rowing,Rowing,four without coxswain (4-)
2450,Rowing,Rowing,double sculls (2x)
2451,Rowing,Rowing,pair-oared shell with coxswain (2+)
2452,Rowing,Rowing,eight with coxswain (8+)
2453,Rowing,Rowing,single sculls (1x)
2454,Rowing,Rowing,coxless pair (2-)
2455,Rowing,Rowing,quadruple sculls without coxswain (4x)
2456,Rowing,Rowing,quadruple sculls without coxswain (4x)
2457,Rowing,Rowing,eight with coxswain (8+)
2458,Rowing,Rowing,eight with coxswain (8+)
2459,Rowing,Rowing,eight with coxswain (8+)
2460,Rowing,Rowing,four-oared shell with coxswain (4-)
2461,Rowing,Rowing,eight with coxswain (8+)
2462,Rowing,Rowing,eight with coxswain (8+)
2463,Rowing,Rowing,four-oared shell with coxswain (4-)
2464,Rowing,Rowing,eight with coxswain (8+)
2465,Rowing,Rowing,pair without coxswain (2-)
2466,Rowing,Rowing,four-oared shell with coxswain (4-)
